txn_id,date,amount,currency,description,counterparty_raw
TXN00028,2025-03-18,52912.85,USD,INWARD CLEARING CREDIT,ROSEWOOD PHARMACEUTICALS
TXN00029,2025-03-20,48293.10,USD,INWARD CLEARING CREDIT,QUANTUM LEDGER SYS
TXN00030,2025-03-20,30890.95,USD,DEPOSIT - UNIDENTIFIED REMITTER,ROSEWOOD PHARMACEUTICALS
TXN00031,2025-03-22,82034.08,USD,REMITTANCE REF INV-2025-0012,NIMBUS CLOUDWORKS
TXN00032,2025-03-23,26748.68,USD,PART PAYMENT 3 OF 3,BASALT MINING GROUP
TXN00033,2025-03-26,47551.60,USD,INCOMING WIRE - CUSTOMER PAYMENT,CINDER PEAK OUTFITTERS
TXN00034,2025-03-26,31311.71,USD,INWARD FX CREDIT - CONVERTED AT SPOT,ROSEWOOD PHARMACEUTICALS
TXN00035,2025-03-27,80749.14,USD,INCOMING WIRE - CUSTOMER PAYMENT,MERIDIAN FREIGHT
TXN00036,2025-03-29,31379.78,USD,INCOMING WIRE - CUSTOMER PAYMENT,INDIGO WAVE STUDIOS
TXN00037,2025-03-29,26890.84,USD,DEPOSIT - UNIDENTIFIED REMITTER,COBALT ROBOTICS
TXN00038,2025-03-30,79031.67,USD,WIRE CREDIT NET OF CORRESPONDENT CHARGES,EMBERLINE TEXTILES
TXN00039,2025-03-31,37315.77,USD,INCOMING WIRE - CUSTOMER PAYMENT,HELVETICA LOGISTICS
TXN00040,2025-04-01,37315.77,USD,INCOMING WIRE - CUSTOMER PAYMENT,HELVETICA LOGISTICS
TXN00041,2025-04-02,57365.31,USD,ACH CREDIT RECEIVED,VANTAGE POINT MEDIA
TXN00042,2025-04-03,26020.01,USD,INWARD CLEARING CREDIT,EVERGLADEWATERTECH
TXN00043,2025-04-04,57724.53,USD,INWARD CLEARING CREDIT,ZEPHYR TELECOM /REF 72166/
TXN00044,2025-04-04,81913.55,USD,INWARD FX CREDIT - CONVERTED AT SPOT,NIMBUS CLOUDWORKS
TXN00045,2025-04-06,39446.15,USD,CUSTOMER REMITTANCE,ROSEWOOD PHARMACEUTICALS
TXN00046,2025-04-07,28901.01,USD,ACH CREDIT RECEIVED,AURORA BIOTECH
TXN00047,2025-04-12,14323.32,USD,INWARD CLEARING CREDIT,JUNIPER HEALTH SYSTEMS
TXN00048,2025-04-12,24878.90,USD,ACH CREDIT RECEIVED,PALISADE SECURITY
TXN00049,2025-04-13,79275.63,USD,BULK SETTLEMENT 3 INVOICES,DRIFTWOOD HOSPITALITY
TXN00050,2025-04-16,93106.26,USD,PAYMENT FOR INV-2025-0057,HELVETICA LOGISTICS
TXN00051,2025-04-16,10563.69,USD,ONLINE TRANSFER FROM CUSTOMER,KESTREL ANALYTICS
TXN00052,2025-04-18,67076.37,USD,SETTLEMENT INV-2025-0058 THANK YOU,XENON POWER SYSTEMS
TXN00053,2025-04-18,74856.21,USD,INWARD CLEARING CREDIT,CONSTRUCTIONS IRONBARK
TXN00054,2025-04-21,9374.73,USD,ONLINE TRANSFER FROM CUSTOMER,ZEPHYR TELECOM
TXN00055,2025-04-23,82736.94,USD,SETTLEMENT INV-2025-0036 THANK YOU,EVERGLADE WATER TECH
TXN00056,2025-04-24,520.08,USD,INCOMING WIRE - CUSTOMER PAYMENT,SABLE AND FINCH PARTNERS
TXN00057,2025-04-24,43317.19,USD,INCOMING WIRE - CUSTOMER PAYMENT,MARLOWE AEROSPACE
TXN00058,2025-04-28,66066.69,USD,REMITTANCE REF INV-2025-0043,REDWOOD INSTRUMENTS
TXN00059,2025-04-28,59748.09,USD,CUSTOMER REMITTANCE,COPPERFIELD ENERGY
TXN00060,2025-05-02,73162.18,USD,ADVANCE SETTLEMENT ON ISSUE,PINNACLE FOODS
TXN00061,2025-05-02,23936.99,USD,CUSTOMER REMITTANCE,VANTAGE POINT MEDIA
TXN00062,2025-05-04,-313.19,USD,CORPORATE CARD SETTLEMENT,APEX CARD SERVICES
TXN00063,2025-05-06,2817.64,USD,INCOMING WIRE - CUSTOMER PAYMENT,BLUEPEAK SOLUTIONS
TXN00064,2025-05-07,38734.04,USD,SETTLEMENT INV-2025-0066 THANK YOU,PINNACLE FOODS
TXN00065,2025-05-11,15009.36,USD,REMITTANCE REF INV-2025-0056,QUARRY LANE CERAMICS
TXN00066,2025-05-11,41828.01,USD,INWARD CLEARING CREDIT,STONEBRIDGE INSURANCE
TXN00067,2025-05-11,57473.49,USD,INWARD CLEARING CREDIT,FAIRMONT CHEMICALS
TXN00068,2025-05-11,1118.80,USD,INCOMING WIRE - CUSTOMER PAYMENT,KITE AND COMPASS TRAVEL
TXN00069,2025-05-12,61122.40,USD,INCOMING WIRE - CUSTOMER PAYMENT,YARROW NATURALS
TXN00070,2025-05-13,46835.71,USD,LATE SETTLEMENT - CUSTOMER PAYMENT,MERIDIAN FREIGHT
TXN00071,2025-05-14,53998.73,USD,INWARD CLEARING CREDIT,CINDER PEAK OUTFIT
TXN00072,2025-05-14,61122.40,USD,INCOMING WIRE - CUSTOMER PAYMENT,YARROW NATURALS
TXN00073,2025-05-14,1118.80,USD,ONLINE TRANSFER FROM CUSTOMER,KITE AND COMPASS TRAVEL
TXN00074,2025-05-17,92808.20,USD,INCOMING WIRE - CUSTOMER PAYMENT,HELVETICA LOGISTICS
TXN00075,2025-05-17,3006.44,USD,INWARD CLEARING CREDIT,CINDER CORP SA
TXN00076,2025-05-18,54693.46,USD,PAYMENT FOR INV-2025-0055,STONEBRIDGE INSURANCE
TXN00077,2025-05-18,39592.67,USD,INWARD CLEARING CREDIT,NEFT-ZEPHYR TELECOM-XXXXX5031
TXN00078,2025-05-18,47425.83,USD,DEPOSIT - UNIDENTIFIED REMITTER,QUARRY LANE CERAMICS
TXN00079,2025-05-20,9212.88,USD,CUSTOMER REMITTANCE,ACME CORPORATION
TXN00080,2025-05-25,10845.05,USD,PART PAYMENT 1 OF 3,YARROW NATURALS
TXN00081,2025-05-26,17443.55,USD,LATE SETTLEMENT - CUSTOMER PAYMENT,VANTAGE POINT MEDIA
TXN00082,2025-05-27,61072.97,USD,INWARD CLEARING CREDIT,MARLOWE CORP LTD
TXN00083,2025-05-29,65420.83,USD,ONLINE TRANSFER FROM CUSTOMER,STONEBRIDGE INSURANCE
TXN00084,2025-05-30,20499.10,USD,REMITTANCE REF INV-2025-0085,DRIFTWOOD HOSPITALITY
TXN00085,2025-06-01,4261.04,USD,PART PAYMENT 1 OF 2,DRIFTWOOD HOSPITALITY
TXN00086,2025-06-01,65106.98,USD,INWARD FX CREDIT - CONVERTED AT SPOT,REDWOOD INSTRUMENTS
TXN00087,2025-06-01,57124.90,USD,ACH CREDIT RECEIVED,FAIRMONT CHEMICALS
TXN00088,2025-06-03,40143.49,USD,ONLINE TRANSFER FROM CUSTOMER,CINDER PEAK OUTFITTERS
TXN00089,2025-06-03,9762.52,USD,PART PAYMENT 2 OF 3,YARROW NATURALS
TXN00090,2025-06-06,19682.54,USD,INWARD CLEARING CREDIT,REDWOOD INSTRUMENT
TXN00091,2025-06-06,12590.07,USD,PART PAYMENT 3 OF 3,YARROW NATURALS
TXN00092,2025-06-06,7027.35,USD,SETTLEMENT INV-2025-0069 THANK YOU,ACME CORPORATION
TXN00093,2025-06-07,65190.54,USD,INWARD CLEARING CREDIT,VERDANT AGRI
TXN00094,2025-06-07,3555.76,USD,PART PAYMENT 2 OF 2,DRIFTWOOD HOSPITALITY
TXN00095,2025-06-07,7027.35,USD,SETTLEMENT INV-2025-0069 THANK YOU,ACME CORPORATION
TXN00096,2025-06-09,24260.72,USD,REMITTANCE REF INV-2025-0095,EVERGLADE WATER TECH
TXN00097,2025-06-12,13144.81,USD,PAYMENT FOR INV-2025-0097,FAIRMONT CHEMICALS
TXN00098,2025-06-12,20576.75,USD,PAYMENT FOR INV-2025-0081,VANTAGE POINT MEDIA
TXN00099,2025-06-14,3298.90,USD,INCOMING WIRE - CUSTOMER PAYMENT,ROSEWOOD PHARMACEUTICALS
TXN00100,2025-06-14,20576.75,USD,PAYMENT FOR INV-2025-0081,VANTAGE POINT MEDIA
TXN00101,2025-06-19,94538.71,USD,PAYMENT FOR INV-2025-0077,AURORA BIOTECH
TXN00102,2025-06-19,63154.48,USD,ACH CREDIT RECEIVED,ORION MANUFACTURING
TXN00103,2025-06-20,42499.33,USD,REMITTANCE REF INV-2025-0080,HARBOURVIEW CONSULTING
TXN00104,2025-06-21,70102.78,USD,CUSTOMER REMITTANCE,GREYSTONE ADVISORY
TXN00105,2025-06-21,13116.47,USD,CUSTOMER REMITTANCE - NO REFERENCE QUOTED,PINNACLE FOODS
TXN00106,2025-06-22,17664.58,USD,WIRE CREDIT NET OF CORRESPONDENT CHARGES,WESTGATE SHIPPING
TXN00107,2025-06-23,58499.01,USD,CUSTOMER REMITTANCE,VERDANT AGRICULTURE
TXN00108,2025-06-23,54592.71,USD,LATE SETTLEMENT - CUSTOMER PAYMENT,STONEBRIDGE INSURANCE
TXN00109,2025-06-25,84368.71,USD,REMITTANCE REF INV-2025-0071,PALISADE SECURITY
TXN00110,2025-06-26,54536.94,USD,REMITTANCE REF INV-2025-0090,ROSEWOOD PHARMACEUTICALS
TXN00111,2025-06-26,23211.55,USD,CUSTOMER REMITTANCE - NO REFERENCE QUOTED,PALISADE SECURITY
TXN00112,2025-06-27,10180.38,USD,PAYROLL RUN 2025-04 BATCH 0417,PAYROLL CLEARING
TXN00113,2025-06-29,54536.94,USD,REMITTANCE REF INV-2025-0090,ROSEWOOD PHARMACEUTICALS
TXN00114,2025-07-01,68308.28,USD,INCOMING WIRE - CUSTOMER PAYMENT,LUMEN DIGITAL WORKS
TXN00115,2025-07-02,47758.33,USD,BULK SETTLEMENT 2 INVOICES,ROSEWOOD PHARMACEUTICALS
TXN00116,2025-07-03,68308.28,USD,ONLINE TRANSFER FROM CUSTOMER,LUMEN DIGITAL WORKS
TXN00117,2025-07-05,-2135.39,USD,MONTHLY ACCOUNT MAINTENANCE FEE,FIRST MERIDIAN BANK
TXN00118,2025-07-10,16103.48,USD,SETTLEMENT INV-2025-0091 THANK YOU,MERIDIAN FREIGHT
TXN00119,2025-07-13,66484.18,USD,CUSTOMER REMITTANCE,LUMEN DIGITAL WORKS
TXN00120,2025-07-13,54234.46,USD,ONLINE TRANSFER FROM CUSTOMER,LARKSPUR PUBLISHING
